Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,003207-NI,Garden Pals Rattle Set,Garden Pals Rattle Set,Garden Pals Rattle Set,Garden Pals Rattle Set,Others,Baby & Toddler Toys,,,,840172032078,840172032078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002012-NL,Jungle Band Piano,Jungle Band Piano,Jungle Band Piano,Jungle Band Piano,Others,Baby & Toddler Toys,,,,840172041940,840172041940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000663-01,Talk 'N Pull Phone,Talk 'N Pull Phone,Talk 'N Pull Phone,Talk 'N Pull Phone,Others,Baby & Toddler Toys,,,,840172043067,840172043067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000676-01,Animal Sounds Bus,Animal Sounds Bus,Animal Sounds Bus,Animal Sounds Bus,Others,Baby & Toddler Toys,,,,840172043128,840172043128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02084A-NL,Cool Kidz Keyboard,Cool Kidz Keyboard,Cool Kidz Keyboard,Cool Kidz Keyboard,Others,Baby & Toddler Toys,,,,840172043418,840172043418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02085A-NL,Cool Kidz Rock Guitar,Cool Kidz Rock Guitar,Cool Kidz Rock Guitar,Cool Kidz Rock Guitar,Others,Baby & Toddler Toys,,,,840172043432,840172043432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002055-NL,Superstar Electronic Keyboard,Superstar Electronic Keyboard,Superstar Electronic Keyboard,Superstar Electronic Keyboard,Others,Baby & Toddler Toys,,,,840172044606,840172044606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,008078-01,Laptop Junior - Tiger,Laptop Junior - Tiger,Laptop Junior - Tiger,Laptop Junior - Tiger,Others,Baby & Toddler Toys,,,,840172047041,840172047041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,008079-01,Laptop Junior - Bear,Laptop Junior - Bear,Laptop Junior - Bear,Laptop Junior - Bear,Others,Baby & Toddler Toys,,,,840172047065,840172047065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,710010-NI,BabySpace Activity Gym,BabySpace Activity Gym,BabySpace Activity Gym,BabySpace Activity Gym,Others,Baby & Toddler Toys,,,,840172049076,840172049076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240101-NL,Jungle Pals Projection Mobile,Jungle Pals Projection Mobile,Jungle Pals Projection Mobile,Jungle Pals Projection Mobile,Others,Baby & Toddler Toys,,,,840172053240,840172053240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240801-NL,Jungle Pals Piano,Jungle Pals Piano,Jungle Pals Piano,Jungle Pals Piano,Others,Baby & Toddler Toys,,,,840172053332,840172053332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WINFUN MY FIRST BABY SELFIE PHONE,WINFUN MY FIRST BABY SELFIE PHONE,WINFUN MY FIRST BABY SELFIE PHONE,WINFUN MY FIRST BABY SELFIE PHONE,Others,Baby & Toddler Toys,,,,840172050577,840172050577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,119,Cheeky Chimp Rattle with Rings,Cheeky Chimp Rattle with Rings,Cheeky Chimp Rattle with Rings,Cheeky Chimp Rattle with Rings,Others,Baby & Toddler Toys,,,,840172001197,840172001197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,Take-Along Crinkle Book,Take-Along Crinkle Book,Take-Along Crinkle Book,Take-Along Crinkle Book,Others,Baby & Toddler Toys,,,,840172001760,840172001760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,194,Take-Along Fun Spiral Toy,Take-Along Fun Spiral Toy,Take-Along Fun Spiral Toy,Take-Along Fun Spiral Toy,Others,Baby & Toddler Toys,,,,840172001944,840172001944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,268,Lil' Traveler Activity Ball,Lil' Traveler Activity Ball,Lil' Traveler Activity Ball,Lil' Traveler Activity Ball,Others,Baby & Toddler Toys,,,,840172002682,840172002682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,808,Musical Baby Booster Seat,Musical Baby Booster Seat,Musical Baby Booster Seat,Musical Baby Booster Seat,Others,Baby & Toddler Toys,,,,840172043807,840172043807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1080,Speedster Driver,Speedster Driver,Speedster Driver,Speedster Driver,Others,Baby & Toddler Toys,,,,840172010809,840172010809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1140,R/C Wriggle 'N Giggle Caterpillar,R/C Wriggle 'N Giggle Caterpillar,R/C Wriggle 'N Giggle Caterpillar,R/C Wriggle 'N Giggle Caterpillar,Others,Baby & Toddler Toys,,,,840172011400,840172011400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1155,R/C Light ‘N Sounds Car,R/C Light ‘N Sounds Car,R/C Light ‘N Sounds Car,R/C Light ‘N Sounds Car,Others,Baby & Toddler Toys,,,,840172011554,840172011554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1156,R/C Light ‘N Sounds Train,R/C Light ‘N Sounds Train,R/C Light ‘N Sounds Train,R/C Light ‘N Sounds Train,Others,Baby & Toddler Toys,,,,840172011561,840172011561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2044,Sing 'N Jam Platform,Sing 'N Jam Platform,Sing 'N Jam Platform,Sing 'N Jam Platform,Others,Baby & Toddler Toys,,,,840172044408,840172044408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2045,Symphonic Grand Piano Set,Symphonic Grand Piano Set,Symphonic Grand Piano Set,Symphonic Grand Piano Set,Others,Baby & Toddler Toys,,,,840172044446,840172044446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2052,Sing-A-Tune Microphone,Sing-A-Tune Microphone,Sing-A-Tune Microphone,Sing-A-Tune Microphone,Others,Baby & Toddler Toys,,,,840172020525,840172020525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02005A,Groovy Baby Bongo,Groovy Baby Bongo,Groovy Baby Bongo,Groovy Baby Bongo,Others,Baby & Toddler Toys,,,,840172043470,840172043470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02063A,Kids Fun Mic & Stand,Kids Fun Mic & Stand,Kids Fun Mic & Stand,Kids Fun Mic & Stand,Others,Baby & Toddler Toys,,,,840172043371,840172043371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230801,Baby Maestro Touch Piano,Baby Maestro Touch Piano,Baby Maestro Touch Piano,Baby Maestro Touch Piano,Others,Baby & Toddler Toys,,,,840172053219,840172053219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230802,Baby Maestro Touch Guitar,Baby Maestro Touch Guitar,Baby Maestro Touch Guitar,Baby Maestro Touch Guitar,Others,Baby & Toddler Toys,,,,840172053226,840172053226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,250902,Karaoke Kid Bluetooth Mic,Karaoke Kid Bluetooth Mic,Karaoke Kid Bluetooth Mic,Karaoke Kid Bluetooth Mic,Others,Baby & Toddler Toys,,,,840172053516,840172053516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,250904,Karaoke Kid Wireless Mic,Karaoke Kid Wireless Mic,Karaoke Kid Wireless Mic,Karaoke Kid Wireless Mic,Others,Baby & Toddler Toys,,,,840172053806,840172053806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,251003,Bath time Pals Floating Balls,Bath time Pals Floating Balls,Bath time Pals Floating Balls,Bath time Pals Floating Balls,Others,Baby & Toddler Toys,,,,840172053905,840172053905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,251205,Chime & Teething Lil' Monkey,Chime & Teething Lil' Monkey,Chime & Teething Lil' Monkey,Chime & Teething Lil' Monkey,Others,Baby & Toddler Toys,,,,840172053776,840172053776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,251206,Chime & Teething Lil' Puppy,Chime & Teething Lil' Puppy,Chime & Teething Lil' Puppy,Chime & Teething Lil' Puppy,Others,Baby & Toddler Toys,,,,840172053783,840172053783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,720005,3-in-1 Night-time Projector Mobile,3-in-1 Night-time Projector Mobile,3-in-1 Night-time Projector Mobile,3-in-1 Night-time Projector Mobile,Others,Baby & Toddler Toys,,,,840172049120,840172049120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,720010,3-in-1 Woodland Friends Soothing Mobile,3-in-1 Woodland Friends Soothing Mobile,3-in-1 Woodland Friends Soothing Mobile,3-in-1 Woodland Friends Soothing Mobile,Others,Baby & Toddler Toys,,,,840172049144,840172049144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,720015,3-in-1 Lullaby Dreams Musical Mobile,3-in-1 Lullaby Dreams Musical Mobile,3-in-1 Lullaby Dreams Musical Mobile,3-in-1 Lullaby Dreams Musical Mobile,Others,Baby & Toddler Toys,,,,840172049168,840172049168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,804,Grow-With-Me Musical Walker,Grow-With-Me Musical Walker,Grow-With-Me Musical Walker,Grow-With-Me Musical Walker,Others,Baby & Toddler Toys,,,,840172008042,840172008042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
