Shelley Reviewed ,Date,Brand,Item Count,Priorty,Item sheet link,image link,Preksha ,Reveied by Duddy ,Preksha Comments ,David Comment
,,,,,,,,,,
,,Dress Up America,2130,yes,https://docs.google.com/spreadsheets/d/13sP970DM1x7L9dPc7xd7AUq2L8aeNjbBh1NSaGvm9q8/edit?usp=sharing,https://drive.google.com/drive/folders/1kc41-VkEBN8hI0JDOmcF2A8rK8wm9PkB?usp=drive_link,David Steinberg Added deparmtnet as Purim,Yes,Ready to Review,Department should be Purim
,,Melissa & Doug,898,yes,https://docs.google.com/spreadsheets/d/1GPojMPMwGEisNKB3MyRk3Dh_uuhpbjA2JJBGrbV5sBg/edit?usp=sharing,https://drive.google.com/drive/folders/1YlhxOeBcgVJ1OMgLzwccCrRtGn0BI6gy?usp=drive_link,"David Steinberg Added image link, department and categories, pelase check",,Ready to Review,
,,Lego,812,yes,https://docs.google.com/spreadsheets/d/1NSaJ7dckXV-CNeeTE2WpbM8lypCuUsbxxqXgV8Ymo-Q/edit?usp=drive_link,https://drive.google.com/drive/folders/1x3zEWL4b1dyWqoItQLNFhOX0fKU99TVR?usp=sharing,David Steinberg Added sub categories. Please check,,Ready to Review with sub categories,This need sub categoreis Mentionedin sheet 
,,Hammont,702,yes,https://docs.google.com/spreadsheets/d/1mDvLOluB5o6oxXyWhzZYUnyOV7HbWse_3wQbKtXDhSI/edit?usp=sharing,https://drive.google.com/drive/folders/1vl6wYhbPd_0ok7FXQUlCGkM6N5hW04kD?usp=drive_link,"David Steinberg, Added image link",,Ready to Review,you can add sub categories for this brand items see row 70 in department sheet
,,Darice,584,Yes,https://docs.google.com/spreadsheets/d/1_V-xf4B0-5L_uWuiG6lGPjWCGs7WikupaQof81VRq-A/edit?usp=sharing,https://drive.google.com/drive/folders/1-eel7zphZSeeV68NH87QxMhOtaprt8xJ?usp=drive_link,"shelleytruadm@gmail.com, Added departments in to the sheet. David Steinbergmany items dont have category and deparment. So please look into it.",,Needs categories details as lots of items dont have category,
,,Playmobil,569,yes,https://docs.google.com/spreadsheets/d/1JRul1H48I4ZJYEp_vhxkU3KtUO2vMofxRfVBJajZJ7Q/edit?usp=drive_link,https://drive.google.com/drive/folders/1ZvcpurEV57pPftzG4HgLCDKdlxR_M_1c?usp=drive_link,David Steinberg Added sub categories. Please check,,Ready to Review with sub categories,
,,schleich,503,yes,https://docs.google.com/spreadsheets/d/1re2tUCkJmurYBbBsa_0kU7bPoi2wDi7O/edit?usp=sharing&ouid=100597033232759921672&rtpof=true&sd=true,Images are in the items sheet ,"David Steinberg, Added department and categories and item images in the sheet please check",,Ready to Review,
,,ENDAY,445,yes,https://docs.google.com/spreadsheets/d/1bD7FHj9_qczskyDGWgKGsnK3aL7NnNrhKhutms_QYZU/edit?usp=drive_link,https://drive.google.com/drive/folders/1MKCXz_Un__iP8MutDcPsmLp_r6LpDTOF?usp=drive_link,"David Steinberg, please look for missing categories items as I am not able to map few items",,Ready to Review ,
,,Incento Magic,434,yes,,,"David Steinberg, I havent received any sheet",,,
,,Aurora,413,yes,https://docs.google.com/spreadsheets/d/1kY8sVQBeBnP9zmYyAHHFZv3cJqiYmLeuBD1AjLC883Q/edit?usp=drive_link,,,,Ready to Review without images,
,,BAZIC,382,yes,https://docs.google.com/spreadsheets/d/1B4Y04L4xIdoP306mxtzEu_VMdbqdrTBXQmk_C-klgjw/edit?usp=drive_link,,"David Steinberg, many categories are blank also need reference site for the images download",,,
,,Forum Novelties,379,,,,,,,
,,Rhode Island,309,YES,Rhode Island  Biz,https://drive.google.com/drive/folders/1w6C7XxDc-oDz9oIIdGxlAGRReq-hObg2?usp=drive_link,,,Ready to Review but many items dont have MP numbers. Please fill the missing categories,
,,Playkidiz,297,Yes,https://docs.google.com/spreadsheets/d/1kROK5Pn5JsIU0fsi1Jj1JJrZKIazsb5MiicITAyVX6c/edit?usp=sharing,,,,Few items are missing categories.,
,,NEW YORK DOLL,247,Yes,https://docs.google.com/spreadsheets/d/1WFqFT_XjXOelnS2lI9S8gKTAE5rlkZxL3cYRGN4W0SI/edit?usp=sharing,"Reference Link : https://www.thenewyorkdollcollection.com/

Shloimy Levy",,,,
,,Pokemon,229,,,,,,,
,,HASBRO,223,,,,,,,
,,CAZENOVE,219,,https://docs.google.com/spreadsheets/d/1kLE0qjf4egTN8KyW3_dAmJUB4aW2i_dHtGZnK77cZFA/edit?usp=sharing,Shloimy Levy need images from here:   https://cazenovejudaica.com/us,,,,
,,Wild Republic,218,,,,,,,
,,Morex,208,,https://docs.google.com/spreadsheets/d/1CBw2h8KDLqJuFXHKAnPOD8De75cDUBo_6W7JnPkHUC0/edit?usp=sharing,https://drive.google.com/drive/folders/1z_Yog3iadlpGvTZkGAswrO5Mu-LQX_YE?usp=drive_link,,,Ready To Review,
,,Barbie,208,,,,,,,
